track.name,track.id,track.album.name,simplified_genre
Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj,Sempiternal (Expanded Edition),rock
Trying Trying,6V6zRA5jxaKalrSc3eHFiY,Imagine Siblings / Number Four or Five‬ / Trying Trying,rock
Beat laments the world,5tO3pr49SdxO05TNlYHfHT,Metaphorical Music,hip hop
"Sweet Dreams, TN",3asj3OMn7BkuWOxsdkYybG,Everything You've Come To Expect,rock
Redbone,0wXuerDYiBnERgIpbb3JBR,"""Awaken, My Love!""",hip hop
It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,The Predator,hip hop
Riot Van,0RN9h0ojhQWtAD6O8X7Zzp,"Whatever People Say I Am, That's What I'm Not",rock
SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,BALLADS 1,other
Orgasm of Death,4m3uMuu1gYYjZPtZvTOe6t,Casual Acquaintances,rock
I Get Around,4voEoczU7Ijborps9XF1n3,Strictly 4 My N.I.G.G.A.Z...,hip hop
You Know How We Do It,2Ih217RCGAmyQR68Nn7Cqo,Lethal Injection,hip hop
You Fuckers Were Asking for This One - Boin Edit,4p9ip3oAU1pB5b5PahVmd1,You Fuckers Were Asking for This One (Boin Edit),hip hop
What a Nigga Know?,6ZClQUx5QAuTuR2v2wx37F,Black Bastards Deluxe Edition,hip hop
Sameolemeek,0CUJEDKDLddR0cojCVsXN1,"Meek, Vol. 6",hip hop
The Nigga Ya Love To Hate,3Mzqw2mz9YMKjjCEmypYfZ,AmeriKKKa's Most Wanted,hip hop
100 Miles And Runnin',0X87YlD94elwfFPvYAP1Gy,100 Miles And Runnin',hip hop
Do For Love,4AE7Lj39VnSZNOmGH2iZaq,R U Still Down? [Remember Me],hip hop
Kon Queso,13AzkgqOT4PHx5aXxihF0n,MM...FOOD,hip hop
Write This Down,3RzTfqRCJjO18SBENG58n8,Sunflower in the Sunlight,hip hop
All Caps,21O0XXPEWPtePt5RMY93Ob,Madvillainy,hip hop
Much,4YWXPsw94zdKDkXN9MDQAn,Thumbs,hip hop
